31.01	-4	0.0287
31.01	-4.5	0.0279
31.01	-5	0.0329
31.21	-1	0.0692
31.21	-1.5	0.0956
31.21	-2	0.0071
31.21	-2.5	0.0041
31.21	-3	0.0015
31.21	-3.5	0.0056
31.21	-4	0.0474
31.21	-4.5	0.0048
31.21	-5	0.0010
31.41	-1	0.0038
31.41	-1.5	0.0032
31.41	-2	0.0903
31.41	-2.5	0.0798
31.41	-3	0.0059
31.41	-3.5	0.0039
31.41	-4	0.0377
31.41	-4.5	0.0124
31.41	-5	0.0053
32.01	-1	0.0110
32.01	-1.5	0.0014
32.01	-2	0.0366
32.01	-2.5	0.0401
32.01	-3	0.0019
32.01	-3.5	0.0001
32.01	-4	0.0124
32.01	-4.5	0.0032
32.01	-5	0.0434
32.21	-1	0.0982
32.21	-1.5	0.0062
32.21	-2	0.0048
32.21	-2.5	0.0019
32.21	-3	0.0017
32.21	-3.5	0.0459
32.21	-4	0.0362
32.21	-4.5	0.0011
32.21	-5	0.0015
32.41	-1	0.0087
32.41	-1.5	0.0190
32.41	-2	0.0320
32.41	-2.5	0.0063
32.41	-3	0.0577
32.41	-3.5	0.0054
32.41	-4	0.0006
32.41	-4.5	0.0007
32.41	-5	0.0186
33.01	-1	0.0671
33.01	-1.5	0.0080
33.01	-2	0.0557
33.01	-2.5	0.0156
33.01	-3	0.0080
33.01	-3.5	0.0627
33.01	-4	0.0000
33.01	-4.5	0.0129
33.01	-5	0.0107
33.21	-1	0.0910
33.21	-1.5	0.0398
33.21	-2	0.0014
33.21	-2.5	0.0098
33.21	-3	0.0482
33.21	-3.5	0.0019
33.21	-4	0.0126
33.21	-4.5	0.0038
33.21	-5	0.0047
33.41	-1	0.2551
33.41	-1.5	0.0474
33.41	-2	0.0008
33.41	-2.5	0.0078
33.41	-3	0.0027
33.41	-3.5	0.0037
33.41	-4	0.0091
33.41	-4.5	0.0014
33.41	-5	0.0053
34.01	-1	0.0235
34.01	-1.5	0.0123
34.01	-2	0.0043
34.01	-2.5	0.0323
34.01	-3	0.0627
34.01	-3.5	0.0032
34.01	-4	0.0041
34.01	-4.5	0.0058
34.01	-5	0.0016
34.21	-1	0.0135
34.21	-1.5	0.0125
34.21	-2	0.0285
34.21	-2.5	0.0179
34.21	-3	0.0197
34.21	-3.5	0.0023
34.21	-4	0.0071
34.21	-4.5	0.0058
34.21	-5	0.0062
34.41	-1	0.2581
34.41	-1.5	0.0273
34.41	-2	0.0116
34.41	-2.5	0.0210
34.41	-3	0.0020
34.41	-3.5	0.0117
34.41	-4	0.0016
34.41	-4.5	0.0035
34.41	-5	0.0003
35.01	-1	0.0284
35.01	-1.5	0.1353
35.01	-2	0.0014
35.01	-2.5	0.0195
35.01	-3	0.0133
35.01	-3.5	0.0269
35.01	-4	0.0452
35.01	-4.5	0.0436
35.01	-5	0.0569
35.21	-1	0.0525
35.21	-1.5	0.0224
35.21	-2	0.0120
35.21	-2.5	0.0011
35.21	-3	0.0071
35.21	-3.5	0.0125
35.21	-4	0.0011
35.21	-4.5	0.0171
35.21	-5	0.0212
35.41	-1	0.1851
35.41	-1.5	0.0251
35.41	-2	0.0343
35.41	-2.5	0.0179
35.41	-3	0.0320
35.41	-3.5	0.0007
35.41	-4	0.0156
35.41	-4.5	0.0120
35.41	-5	0.0212
36.01	-1	0.0592
36.01	-1.5	0.0023
36.01	-2	0.0111
36.01	-2.5	0.0010
36.01	-3	0.0404
36.01	-3.5	0.0080
36.01	-4	0.0023
36.01	-4.5	0.0186
36.01	-5	0.0116
36.21	-1	0.0683
36.21	-1.5	0.0030
36.21	-2	0.0447
36.21	-2.5	0.0126
36.21	-3	0.0232
36.21	-3.5	0.0247
36.21	-4	0.0426
36.21	-4.5	0.0043
36.21	-5	0.0075
36.41	-1	0.0746
36.41	-1.5	0.0063
36.41	-2	0.0017
36.41	-2.5	0.0382
36.41	-3	0.0081
36.41	-3.5	0.0086
36.41	-4	0.0191
36.41	-4.5	0.0353
36.41	-5	0.0013
37.01	-1	0.0092
37.01	-1.5	0.0509
37.01	-2	0.0589
37.01	-2.5	0.0268
37.01	-3	0.0103
37.01	-3.5	0.0300
37.01	-4	0.0362
37.01	-4.5	0.0181
37.01	-5	0.0044
37.21	-1	0.0319
37.21	-1.5	0.0120
37.21	-2	0.0041
37.21	-2.5	0.0761
37.21	-3	0.0120
37.21	-3.5	0.0442
37.21	-4	0.0267
37.21	-4.5	0.0157
37.21	-5	0.0176
37.41	-1	0.0455
37.41	-1.5	0.0072
37.41	-2	0.0116
37.41	-2.5	0.0052
37.41	-3	0.0024
37.41	-3.5	0.0245
37.41	-4	0.0345
37.41	-4.5	0.0128
37.41	-5	0.0268
38.01	-1	0.0312
38.01	-1.5	0.0180
38.01	-2	0.0056
38.01	-2.5	0.0068
38.01	-3	0.0025
38.01	-3.5	0.0109
38.01	-4	0.0157
38.01	-4.5	0.0064
38.01	-5	0.0078
38.21	-1	0.0280
38.21	-1.5	0.0256
38.21	-2	0.0003
38.21	-2.5	0.0174
38.21	-3	0.0022
38.21	-3.5	0.0052
38.21	-4	0.0064
38.21	-4.5	0.0135
38.21	-5	0.0371
38.41	-1	0.0558
38.41	-1.5	0.0027
38.41	-2	0.0114
38.41	-2.5	0.0112
38.41	-3	0.0093
38.41	-3.5	0.0337
38.41	-4	0.0117
38.41	-4.5	0.0327
38.41	-5	0.0359
39.01	-1	0.0450
39.01	-1.5	0.0339
39.01	-2	0.0201
39.01	-2.5	0.0200
39.01	-3	0.0367
39.01	-3.5	0.0179
39.01	-4	0.0593
39.01	-4.5	0.0428
39.01	-5	0.0246
39.21	-1	0.0446
39.21	-1.5	0.0117
39.21	-2	0.0181
39.21	-2.5	0.0094
39.21	-3	0.0081
39.21	-3.5	0.0034
39.21	-4	0.0128
39.21	-4.5	0.0035
39.21	-5	0.0030
39.41	-1	0.2048
39.41	-1.5	0.0790
39.41	-2	0.0075
39.41	-2.5	0.0102
39.41	-3	0.0068
39.41	-3.5	0.0474
39.41	-4	0.0127
39.41	-4.5	0.0113
39.41	-5	0.0221
40.01	-1	0.0988
40.01	-1.5	0.0090
40.01	-2	0.0161
40.01	-2.5	0.0189
40.01	-3	0.0248
40.01	-3.5	0.0261
40.01	-4	0.0077
40.01	-4.5	0.0432
40.01	-5	0.0034
40.21	-1	0.0026
40.21	-1.5	0.0047
40.21	-2	0.0256
40.21	-2.5	0.0173
40.21	-3	0.0229
40.21	-3.5	0.0513
40.21	-4	0.0059
40.21	-4.5	0.0117
40.21	-5	0.0108
40.41	-1	0.0256
40.41	-1.5	0.0026
40.41	-2	0.0277
40.41	-2.5	0.0059
40.41	-3	0.0058
40.41	-3.5	0.0026
40.41	-4	0.0027
40.41	-4.5	0.0111
40.41	-5	0.0130
41.01	-1	0.0123
41.01	-1.5	0.0184
41.01	-2	0.0045
41.01	-2.5	0.0442
41.01	-3	0.0018
41.01	-3.5	0.0103
41.01	-4	0.0077
41.01	-4.5	0.0276
41.01	-5	0.0161
41.21	-1	0.0739
41.21	-1.5	0.0184
41.21	-2	0.0024
41.21	-2.5	0.0105
41.21	-3	0.0439
41.21	-3.5	0.0117
41.21	-4	0.0030
41.21	-4.5	0.0072
41.21	-5	0.0055
41.41	-1	0.0328
41.41	-1.5	0.0019
41.41	-2	0.0113
41.41	-2.5	0.0072
41.41	-3	0.0005
41.41	-3.5	0.0040
41.41	-4	0.0111
41.41	-4.5	0.0048
41.41	-5	0.0051
42.01	-1	0.0124
42.01	-1.5	0.0164
42.01	-2	0.0042
42.01	-2.5	0.0233
42.01	-3	0.0173
42.01	-3.5	0.0133
42.01	-4	0.0241
42.01	-4.5	0.0277
42.01	-5	0.0114
42.21	-1	0.1499
42.21	-1.5	0.0683
42.21	-2	0.0027
42.21	-2.5	0.0069
42.21	-3	0.0323
42.21	-3.5	0.0150
42.21	-4	0.0070
42.21	-4.5	0.0021
42.21	-5	0.0082
42.41	-1	0.0772
42.41	-1.5	0.0470
42.41	-2	0.0487
42.41	-2.5	0.0038
42.41	-3	0.0036
42.41	-3.5	0.0145
42.41	-4	0.0022
42.41	-4.5	0.0139
42.41	-5	0.0003
43.01	-1	0.0095
43.01	-1.5	0.0110
43.01	-2	0.0055
43.01	-2.5	0.0057
43.01	-3	0.0289
43.01	-3.5	0.0061
43.01	-4	0.0163
43.01	-4.5	0.0010
43.01	-5	0.0116
43.21	-1	0.0332
43.21	-1.5	0.0012
43.21	-2	0.0167
43.21	-2.5	0.0085
43.21	-3	0.0175
43.21	-3.5	0.0426
43.21	-4	0.0015
43.21	-4.5	0.0109
43.21	-5	0.0019
43.41	-1	0.0392
43.41	-1.5	0.0294
43.41	-2	0.0027
43.41	-2.5	0.0096
43.41	-3	0.0043
43.41	-3.5	0.0067
43.41	-4	0.0065
43.41	-4.5	0.0055
43.41	-5	0.0193
44.01	-1	0.2213
44.01	-1.5	0.0064
44.01	-2	0.0169
44.01	-2.5	0.0241
44.01	-3	0.0285
44.01	-3.5	0.0219
44.01	-4	0.0126
44.01	-4.5	0.0008
44.01	-5	0.0040
44.21	-1	0.1210
44.21	-1.5	0.0628
44.21	-2	0.0192
44.21	-2.5	0.0300
44.21	-3	0.0035
44.21	-3.5	0.0043
44.21	-4	0.0290
44.21	-4.5	0.0053
44.21	-5	0.0513
44.41	-1	0.1616
44.41	-1.5	0.0123
44.41	-2	0.0255
44.41	-2.5	0.0682
44.41	-3	0.0116
44.41	-3.5	0.0150
44.41	-4	0.0061
