Seaguard RCM DW
Product number:	4451
Serial number:	184

		System Parameters(0)				Conductivity #517(517)		DCS #352(352)													Pressure #363(363)		Temperature #318(318)	Depth and Salinity(Virtual)(0)
Record	Time tag (Gmt)	Battery Voltage(V)	Memory Used(Bytes)	Last Interval(ms)	Time Correction(ms)	Conductivity(mS/cm)	Temperature(Deg.C)	Abs Speed(cm/s)	Direction(Deg.M)	North(cm/s)	East(cm/s)	Heading(Deg.M)	Tilt X(Deg)	Tilt Y(Deg)	SP Std(cm/s)	Strength(dB)	Ping Count	Abs Tilt(Deg)	Max Tilt(Deg)	Std Tilt(Deg)	Pressure(kPa)	Temperature(DegC)	Temperature(DegC)	Depth(m)	Salinity(PSU)	Density(kg/m^3)	Latitude(Deg)	Air Pressure(kPa)
0	09.08.21 14:03:58	8.976	9416704	1798793	0.000	0.014	29.450	40.449	349.224	39.736	-7.563	218.672	38.827	32.851	106.971	-64.979	50	63.999	80.001	28.547	98.128	29.556	29.848	-0.315	0.016	995.708	44.000	101.300
1	09.08.21 14:33:58	8.969	9433088	1798992	0.000	0.013	30.376	21.666	354.269	21.557	-2.163	215.192	46.279	42.505	98.598	-69.448	50	78.198	80.558	1.046	98.277	30.522	30.663	-0.300	0.016	995.460	44.000	101.300
2	09.08.21 15:03:58	8.963	9433088	1798994	0.000	0.014	31.271	35.112	42.722	25.795	23.822	34.626	42.504	46.249	114.428	-69.350	50	78.886	84.626	2.068	98.396	31.272	31.631	-0.288	0.017	995.159	44.000	101.300
3	09.08.21 15:33:58	8.976	9437184	1798994	0.000	0.013	32.148	50.487	166.926	-49.178	11.421	34.043	41.469	47.278	116.833	-69.368	50	78.873	80.874	1.084	98.512	32.149	32.397	-0.277	0.017	994.914	44.000	101.300
4	09.08.21 16:03:58	8.976	9437184	1798994	0.000	0.012	32.755	38.023	11.125	37.309	7.336	33.769	41.464	47.292	101.436	-69.380	50	78.886	80.534	0.772	98.523	32.719	33.057	-0.275	0.016	994.699	44.000	101.300
5	09.08.21 16:33:58	8.976	9437184	1798994	0.000	0.010	33.706	29.968	16.129	28.788	8.325	33.540	41.844	46.926	120.615	-69.343	50	78.895	80.502	0.943	98.719	33.617	34.026	-0.256	0.016	994.378	44.000	101.300
6	09.08.21 17:03:58	8.982	9437184	1798994	0.000	0.010	33.775	23.363	344.267	22.488	-6.335	11.428	41.448	47.163	115.384	-69.366	50	78.909	90.000	4.434	98.768	33.513	33.166	-0.251	0.016	994.663	44.000	101.300
7	09.08.21 17:33:58	8.976	9437184	1798994	0.000	0.013	31.506	18.934	75.668	4.687	18.345	48.680	41.726	47.614	117.967	-69.319	50	82.202	90.000	6.558	98.611	31.116	31.229	-0.267	0.016	995.285	44.000	101.300
8	09.08.21 18:03:58	8.969	9437184	1798994	0.000	0.014	30.775	33.564	291.915	12.527	-31.139	80.646	41.065	48.499	105.630	-69.404	50	82.345	90.000	8.425	98.513	30.622	30.694	-0.276	0.017	995.451	44.000	101.300
9	09.08.21 18:33:58	8.946	9437184	1798994	0.000	0.014	29.004	36.103	333.999	32.449	-15.827	305.737	-19.517	-51.754	110.848	-69.350	50	83.357	90.000	8.741	98.300	28.491	28.824	-0.298	0.016	996.011	44.000	101.300
10	09.08.21 19:03:58	8.928	9437184	1798993	0.000	0.067	27.514	3.873	249.720	-1.342	-3.633	320.298	-24.252	-55.778	93.221	-66.796	50	75.416	90.000	24.331	98.233	27.235	27.301	-0.304	0.036	996.460	44.000	101.300
11	09.08.21 19:33:58	8.922	9437184	1798994	0.000	30.192	26.406	9.791	153.404	-8.755	4.384	358.542	0.008	1.536	6.563	-28.556	50	2.997	82.202	11.468	159.488	26.419	26.429	5.772	18.131	1010.263	44.000	101.300
12	09.08.21 20:03:58	8.922	9437184	1798993	0.000	30.185	26.457	9.089	125.679	-5.301	7.383	6.963	0.636	0.418	4.772	-29.072	50	1.523	4.080	0.820	159.520	26.439	26.447	5.775	18.120	1010.250	44.000	101.300
13	09.08.21 20:33:58	8.910	9437184	1798994	0.000	30.171	26.409	9.757	125.423	-5.655	7.951	10.848	0.956	0.388	4.571	-28.915	50	1.605	4.195	1.124	159.560	26.410	26.413	5.779	18.124	1010.262	44.000	101.300
14	09.08.21 21:03:58	8.922	9437184	1798994	0.000	30.178	26.472	8.646	124.770	-4.931	7.102	10.270	1.205	0.306	4.398	-28.348	50	1.779	4.845	1.173	159.524	26.476	26.480	5.776	18.102	1010.226	44.000	101.300
15	09.08.21 21:33:58	8.922	9437184	1798994	0.000	30.223	26.534	9.552	131.498	-6.329	7.154	11.983	0.797	0.345	4.933	-29.404	50	1.392	3.933	0.891	159.399	26.538	26.544	5.763	18.107	1010.211	44.000	101.300
16	09.08.21 22:03:58	8.910	9437184	1798994	0.000	30.314	26.611	8.491	137.103	-6.221	5.780	11.802	1.043	0.315	4.533	-28.835	50	1.677	4.519	1.164	159.782	26.654	26.691	5.801	18.110	1010.170	44.000	101.300
17	09.08.21 22:33:58	8.922	9437184	1798994	0.000	30.331	26.758	8.452	125.865	-4.952	6.849	12.520	1.139	0.336	5.075	-29.008	50	1.755	4.263	0.958	160.178	26.753	26.748	5.840	18.099	1010.145	44.000	101.300
18	09.08.21 23:03:58	8.917	9437184	1798994	0.000	30.379	26.747	9.352	121.459	-4.881	7.978	12.702	0.872	0.455	4.809	-28.789	50	1.733	4.347	1.093	159.742	26.795	26.820	5.797	18.103	1010.127	44.000	101.300
19	09.08.21 23:33:58	8.917	9437184	1798994	0.000	30.338	26.675	10.474	129.998	-6.733	8.024	14.366	0.756	0.490	4.687	-28.943	50	1.501	4.127	1.001	159.950	26.652	26.655	5.818	18.140	1010.203	44.000	101.300
20	10.08.21 00:03:58	8.910	9437184	1798994	0.000	30.397	26.866	10.672	135.664	-7.633	7.459	12.999	0.974	0.395	4.685	-29.408	50	1.659	3.914	0.935	159.839	26.901	26.898	5.807	18.085	1010.090	44.000	101.300
21	10.08.21 00:33:58	8.917	9437184	1798994	0.000	30.217	26.943	8.598	126.897	-5.162	6.876	11.875	1.296	0.438	4.998	-30.116	50	1.844	4.180	0.948	159.869	26.952	26.951	5.810	17.947	1009.971	44.000	101.300
22	10.08.21 01:03:58	8.922	9437184	1798994	0.000	30.215	27.239	9.170	127.248	-5.550	7.300	13.011	1.125	0.427	4.538	-30.492	50	1.600	3.943	0.870	160.148	27.314	27.320	5.837	17.805	1009.754	44.000	101.300
23	10.08.21 01:33:58	8.917	9437184	1798994	0.000	30.217	27.294	11.129	115.717	-4.829	10.027	15.538	1.077	0.633	4.822	-31.426	50	1.677	4.806	0.950	160.129	27.311	27.319	5.836	17.807	1009.756	44.000	101.300
24	10.08.21 02:03:58	8.922	9437184	1798994	0.000	30.231	27.313	10.184	122.572	-5.483	8.582	15.420	0.963	0.522	4.952	-31.659	50	1.745	4.260	1.021	159.862	27.329	27.331	5.809	17.812	1009.756	44.000	101.300
25	10.08.21 02:33:58	8.917	9437184	1798994	0.000	30.233	27.342	11.638	132.526	-7.866	8.577	17.483	0.883	0.397	5.023	-31.455	50	1.493	3.826	0.905	159.807	27.323	27.323	5.804	17.816	1009.762	44.000	101.300
26	10.08.21 03:03:58	8.917	9437184	1798995	0.000	30.216	27.298	10.792	128.365	-6.698	8.462	17.988	1.080	0.448	4.713	-31.825	50	1.817	3.681	0.928	159.822	27.298	27.300	5.805	17.814	1009.767	44.000	101.300
27	10.08.21 03:33:58	8.917	9437184	1798994	0.000	30.212	27.316	12.358	122.856	-6.705	10.381	17.651	1.088	0.421	4.363	-31.744	50	1.727	3.963	1.020	160.187	27.300	27.303	5.841	17.810	1009.763	44.000	101.300
28	10.08.21 04:03:58	8.922	9437184	1798994	0.000	30.208	27.303	12.572	122.679	-6.788	10.582	17.826	0.647	0.658	5.062	-31.931	50	1.723	4.527	0.995	159.959	27.284	27.285	5.819	17.814	1009.772	44.000	101.300
29	10.08.21 04:33:58	8.917	9437184	1798994	0.000	30.212	27.299	12.871	140.424	-9.921	8.200	18.759	0.557	0.579	4.636	-32.499	50	1.671	3.695	0.839	159.560	27.293	27.294	5.779	17.813	1009.768	44.000	101.300
30	10.08.21 05:03:58	8.917	9437184	1798994	0.000	30.212	27.284	9.938	136.777	-7.242	6.806	18.269	1.242	0.401	4.921	-32.380	50	1.845	4.339	0.953	159.728	27.286	27.287	5.796	17.816	1009.772	44.000	101.300
31	10.08.21 05:33:58	8.917	9437184	1798994	0.000	30.212	27.288	10.189	143.567	-8.197	6.051	17.279	1.219	0.495	4.602	-32.457	50	1.943	5.262	1.220	159.353	27.285	27.284	5.759	17.817	1009.774	44.000	101.300
32	10.08.21 06:03:58	8.910	9437184	1798994	0.000	30.213	27.262	8.237	133.470	-5.667	5.978	13.437	1.131	0.506	5.765	-32.582	50	1.973	5.167	1.136	159.803	27.275	27.276	5.803	17.821	1009.779	44.000	101.300
33	10.08.21 06:33:58	8.910	9437184	1798994	0.000	30.236	27.166	6.478	118.280	-3.069	5.705	9.372	0.957	0.519	5.560	-33.028	50	2.105	5.440	1.240	160.099	26.952	26.715	5.833	18.050	1010.118	44.000	101.300
34	10.08.21 07:03:58	8.917	9437184	1798993	0.000	30.199	27.244	6.969	133.237	-4.774	5.077	3.857	1.099	0.367	4.852	-31.773	50	2.110	5.423	1.289	159.515	27.231	27.226	5.775	17.831	1009.802	44.000	101.300
35	10.08.21 07:33:58	8.940	9437184	1798994	0.000	30.185	27.121	8.766	143.979	-7.090	5.155	354.018	0.832	0.215	6.260	-31.378	50	1.656	4.662	0.916	159.847	27.197	27.204	5.808	17.830	1009.808	44.000	101.300
36	10.08.21 08:03:58	8.910	9437184	1798994	0.000	30.200	27.148	6.686	131.170	-4.402	5.033	350.791	0.909	0.314	5.684	-32.013	50	2.102	5.454	1.175	159.423	27.176	27.176	5.766	17.850	1009.831	44.000	101.300
37	10.08.21 08:33:58	8.917	9437184	1798994	0.000	30.253	26.938	5.651	126.584	-3.368	4.537	350.920	0.942	0.420	6.062	-31.734	50	1.995	5.455	1.242	159.416	26.975	26.912	5.765	17.985	1010.011	44.000	101.300
38	10.08.21 09:03:58	8.910	9437184	1798993	0.000	30.248	26.924	6.306	76.279	1.496	6.126	349.221	1.402	0.350	5.567	-31.843	50	2.386	5.413	1.340	159.221	27.070	27.032	5.746	17.936	1009.938	44.000	101.300
39	10.08.21 09:33:58	8.910	9437184	1798994	0.000	30.293	26.817	6.330	112.050	-2.376	5.867	353.729	1.193	0.238	5.661	-31.261	50	2.161	5.825	1.394	159.592	26.811	26.811	5.782	18.050	1010.090	44.000	101.300
40	10.08.21 10:03:58	8.904	9437184	1798994	0.000	30.294	26.928	6.923	90.736	-0.089	6.922	354.691	0.654	0.344	6.196	-32.552	50	2.142	5.531	1.120	160.250	26.939	26.942	5.848	18.001	1010.014	44.000	101.300
41	10.08.21 10:33:58	8.910	9437184	1798993	0.000	30.249	27.108	5.394	82.468	0.707	5.348	350.059	1.219	0.591	6.340	-31.167	50	2.222	5.975	1.301	160.510	27.071	27.059	5.873	17.927	1009.924	44.000	101.300
42	10.08.21 11:03:58	8.910	9437184	1798994	0.000	30.222	27.081	9.242	128.814	-5.793	7.202	352.450	0.933	0.329	5.679	-32.326	50	2.200	6.534	1.322	159.503	27.077	27.085	5.773	17.899	1009.895	44.000	101.300
43	10.08.21 11:33:58	8.910	9437184	1798994	0.000	30.211	27.091	7.689	120.053	-3.851	6.656	334.146	1.007	0.320	6.255	-31.682	50	2.390	6.054	1.419	160.233	27.091	27.094	5.846	17.888	1009.884	44.000	101.300
44	10.08.21 12:03:58	8.904	9437184	1798993	0.000	30.201	27.084	3.776	90.986	-0.065	3.775	313.292	0.757	0.183	6.738	-31.199	50	3.123	7.915	1.909	159.524	27.084	27.085	5.776	17.885	1009.885	44.000	101.300
45	10.08.21 12:33:58	8.904	9437184	1798994	0.000	30.217	27.106	7.545	114.119	-3.083	6.886	299.620	0.501	0.321	6.842	-30.893	50	3.055	8.203	1.669	159.797	27.092	27.093	5.803	17.893	1009.888	44.000	101.300
46	10.08.21 13:03:58	8.904	9437184	1798993	0.000	30.201	27.079	5.186	51.253	3.246	4.045	305.778	0.750	0.185	6.244	-31.159	50	2.518	6.410	1.503	159.532	27.059	27.059	5.776	17.895	1009.900	44.000	101.300
47	10.08.21 13:33:58	8.898	9437184	1798994	0.000	30.201	27.086	4.286	55.221	2.445	3.521	304.256	1.086	0.125	5.944	-31.030	50	2.572	5.984	1.296	160.124	27.068	27.069	5.835	17.891	1009.894	44.000	101.300
48	10.08.21 14:03:58	8.904	9437184	1798994	0.000	30.211	27.066	6.297	32.325	5.321	3.367	307.178	1.111	0.290	6.436	-30.400	50	2.064	6.625	1.284	160.484	27.063	27.063	5.871	17.900	1009.903	44.000	101.300
49	10.08.21 14:33:58	8.904	9437184	1798994	0.000	30.239	27.084	5.491	94.313	-0.413	5.475	301.138	0.673	0.222	5.741	-29.974	50	2.169	5.024	1.282	160.429	27.076	27.076	5.865	17.913	1009.909	44.000	101.300
50	10.08.21 15:03:58	8.904	9433088	1798994	0.000	30.248	27.086	5.838	114.348	-2.407	5.318	294.463	0.800	-0.182	5.812	-30.651	50	2.134	5.828	1.133	159.188	27.075	27.074	5.742	17.920	1009.914	44.000	101.300
51	10.08.21 15:33:58	8.898	9437184	1798993	0.000	30.255	27.082	7.500	124.049	-4.199	6.214	292.452	0.642	0.012	6.557	-30.987	50	2.600	6.371	1.303	159.522	27.076	27.073	5.775	17.925	1009.918	44.000	101.300
52	10.08.21 16:03:58	8.904	9441280	1798993	0.000	30.257	27.123	2.376	64.230	1.033	2.139	296.390	0.734	-0.337	5.936	-30.766	50	2.302	6.777	1.338	159.615	27.104	27.102	5.785	17.915	1009.902	44.000	101.300
53	10.08.21 16:33:58	8.898	9445376	1798993	0.000	30.274	27.123	5.503	75.150	1.410	5.319	297.389	0.972	0.077	5.741	-30.105	50	2.208	5.189	1.148	159.902	27.108	27.108	5.813	17.924	1009.907	44.000	101.300
54	10.08.21 17:03:58	8.898	9445376	1798994	0.000	30.275	27.089	6.373	86.728	0.364	6.363	295.671	0.651	-0.052	6.162	-30.263	50	1.850	4.885	0.954	159.215	27.103	27.102	5.745	17.927	1009.911	44.000	101.300
55	10.08.21 17:33:58	8.904	9445376	1798995	0.000	30.275	27.126	2.830	153.496	-2.532	1.263	293.451	0.814	-0.562	5.841	-30.258	50	2.288	5.500	1.076	159.898	27.106	27.107	5.813	17.925	1009.908	44.000	101.300
56	10.08.21 18:03:58	8.892	9445376	1798993	0.000	30.271	27.114	6.670	112.811	-2.586	6.148	293.939	0.956	0.101	5.966	-30.310	50	2.188	4.808	1.019	159.496	27.097	27.096	5.773	17.927	1009.912	44.000	101.300
57	10.08.21 18:33:58	8.892	9445376	1798994	0.000	30.270	27.096	6.591	138.398	-4.928	4.376	293.424	0.799	-0.139	5.498	-30.788	50	2.166	5.158	1.030	159.683	27.087	27.086	5.791	17.930	1009.918	44.000	101.300
58	10.08.21 19:03:58	8.898	9445376	1798993	0.000	30.292	27.099	7.507	136.312	-5.428	5.185	295.334	0.790	0.206	4.811	-31.736	50	2.026	4.575	1.023	159.066	27.079	27.079	5.730	17.947	1009.932	44.000	101.300
59	10.08.21 19:33:58	8.898	9445376	1798994	0.000	30.293	27.113	5.546	141.331	-4.330	3.465	295.390	1.186	0.321	5.127	-31.867	50	2.176	3.551	0.815	158.889	27.088	27.086	5.713	17.945	1009.929	44.000	101.300
60	10.08.21 20:03:58	8.898	9449472	1798993	0.000	30.296	27.077	5.514	144.617	-4.496	3.193	293.324	0.823	0.157	5.552	-32.109	50	2.164	4.763	1.037	159.150	27.073	27.076	5.738	17.950	1009.936	44.000	101.300
61	10.08.21 20:33:58	8.892	9449472	1798994	0.000	30.280	27.087	6.602	143.821	-5.329	3.897	291.069	0.694	-0.003	5.679	-31.756	50	2.395	5.352	1.309	159.142	27.057	27.060	5.738	17.947	1009.938	44.000	101.300
62	10.08.21 21:03:58	8.898	9449472	1798994	0.000	30.282	27.076	4.491	138.293	-3.352	2.988	289.865	1.047	-0.210	6.144	-31.151	50	2.450	5.125	1.099	159.640	27.053	27.056	5.787	17.949	1009.941	44.000	101.300
63	10.08.21 21:33:58	8.892	9449472	1798994	0.000	30.276	27.057	5.877	129.326	-3.724	4.546	289.697	1.131	0.381	5.087	-30.725	50	2.246	4.152	0.898	159.312	27.049	27.050	5.755	17.948	1009.942	44.000	101.300
64	10.08.21 22:03:58	8.892	9449472	1798994	0.000	30.267	27.049	4.055	105.623	-1.092	3.905	291.385	1.086	0.087	5.576	-30.690	50	2.091	3.643	0.828	159.671	27.039	27.039	5.790	17.946	1009.944	44.000	101.300
65	10.08.21 22:33:58	8.892	9449472	1798994	0.000	30.269	27.018	6.701	122.968	-3.647	5.622	291.161	1.064	0.301	5.299	-31.007	50	2.239	4.925	1.107	159.292	27.036	27.037	5.753	17.948	1009.946	44.000	101.300
66	10.08.21 23:03:58	8.886	9445376	1798994	0.000	30.264	27.017	5.466	96.880	-0.655	5.427	291.331	1.010	0.286	5.299	-31.643	50	2.030	3.841	0.991	159.380	27.017	27.018	5.761	17.951	1009.954	44.000	101.300
67	10.08.21 23:33:58	8.892	9445376	1798994	0.000	30.282	27.027	5.985	69.556	2.090	5.608	295.616	1.110	0.288	5.498	-32.095	50	2.001	4.313	1.002	159.349	27.026	27.027	5.758	17.960	1009.958	44.000	101.300
68	11.08.21 00:03:58	8.898	9445376	1798993	0.000	30.271	26.997	5.709	56.086	3.185	4.738	297.696	1.013	0.132	4.987	-32.536	50	2.057	4.584	0.984	159.454	26.996	26.998	5.769	17.964	1009.970	44.000	101.300
69	11.08.21 00:33:58	8.892	9445376	1798994	0.000	30.264	26.943	4.084	67.480	1.564	3.773	295.727	1.137	0.005	4.984	-31.980	50	2.008	4.366	0.974	159.695	26.944	26.947	5.793	17.979	1009.996	44.000	101.300
70	11.08.21 01:03:58	8.892	9449472	1798993	0.000	30.280	26.995	5.263	85.179	0.442	5.245	290.615	0.965	0.066	5.403	-32.180	50	2.001	4.666	1.067	159.842	26.969	26.971	5.807	17.981	1009.990	44.000	101.300
71	11.08.21 01:33:58	8.892	9449472	1798993	0.000	30.288	26.988	4.567	54.601	2.646	3.723	292.882	1.669	0.871	5.616	-32.601	50	2.397	5.337	1.198	159.454	26.987	26.985	5.769	17.980	1009.985	44.000	101.300
72	11.08.21 02:03:58	8.892	9461760	1798994	0.000	30.294	26.985	3.950	50.888	2.492	3.065	297.046	1.096	0.291	4.597	-31.595	50	2.059	3.971	0.881	159.581	26.984	26.982	5.781	17.985	1009.990	44.000	101.300
73	11.08.21 02:33:58	8.892	9461760	1798994	0.000	30.300	26.943	3.040	64.302	1.318	2.739	292.869	1.153	-0.003	5.150	-31.097	50	2.085	4.755	0.972	159.223	26.958	26.964	5.746	17.996	1010.004	44.000	101.300
74	11.08.21 03:03:58	8.880	9469952	1798995	0.000	30.285	26.978	2.836	59.094	1.457	2.433	292.307	1.281	0.370	4.153	-30.461	50	1.985	3.618	0.859	159.531	26.994	26.997	5.776	17.974	1009.977	44.000	101.300
75	11.08.21 03:33:58	8.886	9469952	1798993	0.000	30.271	26.976	4.779	33.797	3.971	2.658	296.411	0.961	0.260	4.584	-30.945	50	1.962	4.902	1.106	159.659	26.996	26.999	5.789	17.964	1009.969	44.000	101.300
76	11.08.21 04:03:58	8.886	9469952	1798995	0.000	30.253	27.000	4.749	32.974	3.984	2.585	297.853	1.018	-0.205	4.375	-31.427	50	1.762	4.122	0.843	159.776	26.990	26.992	5.801	17.955	1009.965	44.000	101.300
77	11.08.21 04:33:58	8.880	9465856	1798994	0.000	30.242	26.978	3.284	87.587	0.138	3.281	295.808	1.058	0.180	5.003	-31.656	50	1.761	4.574	0.879	159.358	26.975	26.976	5.759	17.953	1009.968	44.000	101.300
78	11.08.21 05:03:58	8.880	9465856	1798994	0.000	30.297	26.971	3.197	108.768	-1.029	3.027	293.692	1.030	0.265	4.956	-31.742	50	1.775	4.755	0.907	159.063	26.956	26.945	5.730	18.001	1010.013	44.000	101.300
79	11.08.21 05:33:58	8.880	9437184	1798993	0.000	30.213	26.950	0.714	88.135	0.023	0.714	295.873	1.109	0.223	4.850	-31.967	50	1.769	4.022	0.856	159.147	26.959	26.960	5.738	17.941	1009.964	44.000	101.300
80	11.08.21 06:03:58	8.886	9437184	1798994	0.000	30.231	26.886	2.795	19.650	2.632	0.940	296.827	1.168	0.005	5.151	-32.159	50	1.817	4.268	0.866	159.709	26.900	26.856	5.794	17.993	1010.033	44.000	101.300
81	11.08.21 06:33:58	8.886	9437184	1798993	0.000	30.248	26.884	2.837	55.406	1.610	2.335	297.313	1.008	-0.017	5.277	-32.159	50	1.587	3.666	0.768	159.659	26.916	26.900	5.789	17.987	1010.016	44.000	101.300
82	11.08.21 07:03:58	8.875	9437184	1798994	0.000	30.271	26.894	2.574	95.747	-0.258	2.561	297.468	0.945	-0.123	5.354	-31.447	50	1.485	3.377	0.751	159.347	26.897	26.899	5.758	18.002	1010.027	44.000	101.300
83	11.08.21 07:33:58	8.880	9437184	1798994	0.000	30.285	26.921	4.209	143.262	-3.373	2.518	294.039	1.111	0.101	4.549	-31.354	50	1.747	4.123	0.784	158.749	26.887	26.890	5.699	18.015	1010.039	44.000	101.300
84	11.08.21 08:03:58	8.886	9437184	1798994	0.000	30.195	26.914	3.329	99.690	-0.560	3.281	294.682	0.904	-0.386	4.467	-31.420	50	1.595	4.005	0.801	158.755	26.889	26.889	5.699	17.957	1009.996	44.000	101.300
85	11.08.21 08:33:58	8.880	9437184	1798994	0.000	30.228	26.904	3.469	104.169	-0.849	3.364	295.922	0.808	-0.078	5.047	-31.956	50	1.860	3.659	0.745	159.132	26.888	26.881	5.737	17.980	1010.016	44.000	101.300
86	11.08.21 09:03:58	8.886	9437184	1798994	0.000	30.192	26.877	2.898	33.962	2.403	1.619	299.180	1.179	0.249	4.863	-31.618	50	2.157	5.302	1.209	159.588	26.859	26.862	5.782	17.964	1010.010	44.000	101.300
87	11.08.21 09:33:58	8.880	9437184	1798994	0.000	30.162	26.829	3.498	56.660	1.922	2.922	299.465	1.255	0.275	5.449	-31.915	50	2.013	5.059	0.891	159.545	26.830	26.832	5.778	17.956	1010.013	44.000	101.300
88	11.08.21 10:03:58	8.875	9437184	1798994	0.000	30.273	26.891	2.756	50.142	1.766	2.115	297.759	1.085	0.395	6.127	-32.140	50	2.157	6.035	1.223	158.899	26.881	26.883	5.714	18.009	1010.037	44.000	101.300
89	11.08.21 10:33:58	8.875	9437184	1798994	0.000	30.275	26.874	2.590	74.927	0.673	2.501	298.648	1.261	0.295	5.959	-32.494	50	2.124	4.535	1.017	159.209	26.876	26.870	5.744	18.016	1010.046	44.000	101.300
90	11.08.21 11:03:58	8.875	9437184	1798994	0.000	30.228	26.886	5.877	50.560	3.733	4.539	300.221	1.234	0.562	5.132	-32.397	50	2.259	4.492	1.078	159.209	26.856	26.857	5.744	17.990	1010.031	44.000	101.300
91	11.08.21 11:33:58	8.886	9437184	1798994	0.000	30.213	26.872	5.141	43.816	3.710	3.560	301.129	0.950	0.188	5.837	-32.253	50	1.943	5.496	1.150	159.145	26.840	26.844	5.738	17.985	1010.031	44.000	101.300
92	11.08.21 12:03:58	8.875	9441280	1798994	0.000	30.210	26.847	5.863	28.385	5.158	2.787	302.196	1.113	0.273	5.682	-32.612	50	1.931	5.102	1.122	159.583	26.832	26.833	5.781	17.987	1010.036	44.000	101.300
93	11.08.21 12:33:58	8.875	9441280	1798994	0.000	30.215	26.857	4.710	17.712	4.486	1.433	302.990	1.005	-0.092	5.570	-33.057	50	1.932	4.829	0.973	159.884	26.833	26.835	5.811	17.990	1010.038	44.000	101.300
94	11.08.21 13:03:58	8.875	9441280	1798994	0.000	30.235	26.846	5.924	46.673	4.065	4.309	299.153	1.162	0.197	6.545	-32.794	50	2.223	6.497	1.249	159.392	26.839	26.839	5.762	18.002	1010.045	44.000	101.300
95	11.08.21 13:33:58	8.875	9441280	1798994	0.000	30.316	26.864	7.225	137.874	-5.358	4.846	296.817	0.824	0.386	7.013	-33.191	50	2.337	4.420	1.178	159.635	26.865	26.863	5.787	18.045	1010.071	44.000	101.300
96	11.08.21 14:03:58	8.869	9441280	1798993	0.000	30.295	26.841	3.158	93.426	-0.189	3.152	297.753	0.970	0.169	5.732	-31.885	50	2.282	5.191	1.165	159.451	26.848	26.849	5.768	18.037	1010.068	44.000	101.300
97	11.08.21 14:33:58	8.875	9441280	1798994	0.000	30.275	26.871	3.693	69.298	1.305	3.454	297.099	1.258	0.386	6.306	-30.909	50	2.784	6.025	1.165	158.910	26.844	26.842	5.715	18.027	1010.062	44.000	101.300
98	11.08.21 15:03:58	8.869	9441280	1798994	0.000	30.262	26.827	2.726	106.454	-0.772	2.614	296.570	0.906	-0.195	5.638	-30.347	50	2.368	4.531	1.021	159.516	26.838	26.835	5.775	18.021	1010.061	44.000	101.300
99	11.08.21 15:33:58	8.863	9441280	1798994	0.000	30.270	26.847	4.471	90.757	-0.059	4.471	295.572	0.931	-0.254	5.929	-32.242	50	2.687	5.951	1.323	160.109	26.840	26.839	5.834	18.024	1010.062	44.000	101.300
100	11.08.21 16:03:58	8.875	9441280	1798994	0.000	30.271	26.854	4.257	133.621	-2.937	3.082	296.775	1.069	0.046	6.258	-32.244	50	2.440	6.125	1.406	159.738	26.847	26.844	5.797	18.023	1010.060	44.000	101.300
101	11.08.21 16:33:58	8.875	9441280	1798993	0.000	30.283	26.844	3.260	75.062	0.840	3.149	296.624	1.033	0.212	6.850	-33.967	50	2.756	5.941	1.372	160.456	26.853	26.852	5.868	18.028	1010.061	44.000	101.300
102	11.08.21 17:03:58	8.875	9441280	1798994	0.000	30.288	26.861	4.423	150.852	-3.863	2.154	296.911	1.281	0.538	6.204	-34.060	50	2.431	6.012	1.302	159.328	26.868	26.868	5.756	18.025	1010.054	44.000	101.300
103	11.08.21 17:33:58	8.869	9441280	1798994	0.000	30.285	26.886	4.879	147.321	-4.107	2.634	298.650	1.018	-0.085	6.250	-33.043	50	2.512	4.354	1.032	159.170	26.869	26.861	5.741	18.026	1010.057	44.000	101.300
104	11.08.21 18:03:58	8.869	9441280	1798994	0.000	30.284	26.879	5.137	164.735	-4.955	1.352	298.546	0.808	-0.064	7.162	-33.671	50	2.170	5.316	1.064	159.400	26.859	26.855	5.763	18.028	1010.060	44.000	101.300
105	11.08.21 18:33:58	8.875	9441280	1798994	0.000	30.291	26.876	2.573	172.450	-2.551	0.338	297.041	0.995	-0.052	5.930	-32.917	50	2.586	5.383	1.319	159.187	26.874	26.871	5.742	18.026	1010.053	44.000	101.300
106	11.08.21 19:03:58	8.869	9441280	1798993	0.000	30.301	26.899	1.822	169.042	-1.789	0.346	298.146	1.461	0.525	6.270	-33.500	50	2.831	5.747	1.314	159.185	26.901	26.898	5.742	18.022	1010.042	44.000	101.300
107	11.08.21 19:33:58	8.863	9441280	1798995	0.000	30.316	26.943	2.516	159.526	-2.357	0.880	299.673	1.164	0.499	6.855	-33.230	50	2.497	4.858	1.109	159.511	26.926	26.926	5.774	18.021	1010.034	44.000	101.300
108	11.08.21 20:03:58	8.869	9441280	1798993	0.000	30.321	26.935	3.683	178.299	-3.681	0.109	296.417	0.736	-0.709	5.966	-33.450	50	2.491	5.640	1.335	158.895	26.923	26.923	5.713	18.026	1010.038	44.000	101.300
109	11.08.21 20:33:58	8.863	9441280	1798994	0.000	30.336	26.940	4.292	169.943	-4.226	0.749	296.376	0.891	0.065	7.097	-32.981	50	2.311	4.747	1.200	159.054	26.921	26.922	5.729	18.035	1010.045	44.000	101.300
